"Points:0","Points:1","Points:2","U:0","U:1","U:2","k","nut","omega","p","pointDisplacement:0","pointDisplacement:1","pointDisplacement:2"
0.50751,-0.043851,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50743,-0.044958,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50735,-0.046064,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50727,-0.047168,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50718,-0.04827,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.5071,-0.04937,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50701,-0.050468,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50692,-0.051563,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50683,-0.052655,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50674,-0.053745,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50665,-0.054831,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50656,-0.055914,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50646,-0.056993,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50637,-0.058069,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50628,-0.05914,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50618,-0.060207,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50608,-0.06127,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50599,-0.062328,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50589,-0.063381,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50579,-0.064429,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50569,-0.065471,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50559,-0.066508,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50549,-0.067539,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50539,-0.068564,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50529,-0.069583,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50519,-0.070596,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50509,-0.071602,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50499,-0.072601,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50489,-0.073593,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50478,-0.074578,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50468,-0.075555,0.2,0,0,0,0.0001882,0,0.121,0,0,0,0
